"","team","season","avg_to_epa","tot_to_epa","fum_lost_rate","ints","fumbles","sacks","tos","sacks_pct","avg_to_forced_epa","tot_to_forced_epa","fum_lost_rate_forced","ints_forced","fumbles_forced","sacks_forced","tos_forced","sacks_forced_pct","net_tos","net_to_epa_tot","net_to_epa_avg"
"14","PIT",2001,-1.31494000319306,-84.1561602043559,0.384615384615385,16,13,35,64,0.546875,-2.19540941019721,-191.000618687157,0.692307692307692,19,13,55,87,0.632183908045977,-23,106.844458482801,0.707579195250341
"15","MIN",2021,-2.54121410472225,-111.813420607779,0.352941176470588,7,17,20,44,0.454545454545455,-2.96200312423582,-216.226228069215,0.538461538461538,16,13,44,73,0.602739726027397,-29,104.412807461436,0.892417157790053
"16","CHI",2001,-2.70312345721733,-116.234308660345,0.363636363636364,19,11,13,43,0.302325581395349,-2.68064196495455,-219.812641126273,0.652173913043478,21,23,38,82,0.463414634146341,-39,103.578332465928,0.828626659727422
"17","BUF",2023,-2.08530692726371,-120.947801781295,0.5,18,16,24,58,0.413793103448276,-2.53502908185862,-223.082559203559,0.705882352941177,19,17,52,88,0.590909090909091,-30,102.134757422263,0.699553133029201
"18","LAC",2007,-2.8835029423359,-147.058650059131,0.416666666666667,20,12,20,51,0.392156862745098,-2.70355009467301,-248.726608709917,0.722222222222222,36,18,38,92,0.41304347826087,-41,101.667958650786,0.710964745809692
"19","GB",2010,-2.02255507518419,-149.66907556363,0.5625,15,16,43,74,0.581081081081081,-2.43597850148496,-250.905785652951,0.444444444444444,32,18,53,103,0.514563106796116,-29,101.236710089321,0.571958814063959
"20","CHI",2012,-2.21219116364768,-146.004616800747,0.5,16,14,36,66,0.545454545454545,-2.96651413498469,-246.220673203729,0.565217391304348,24,23,36,83,0.433734939759036,-17,100.216056402982,0.672590982570352
"21","SF",2022,-2.33734148053188,-130.891122909785,0.75,9,12,35,56,0.625,-2.92093496296368,-230.753862074131,0.642857142857143,23,14,42,79,0.531645569620253,-23,99.8627391643456,0.739723993809967
"22","KC",2018,-2.20044526789656,-116.623599198518,0.7,12,10,31,53,0.584905660377358,-2.76888931110092,-215.973366265872,0.545454545454545,17,22,39,78,0.5,-25,99.3497670673544,0.758395168453087
"23","BAL",2004,-2.19796975263078,-120.888336394693,0.6,11,15,29,55,0.527272727272727,-3.26572743248813,-218.803737976704,0.647058823529412,21,17,30,67,0.447761194029851,-12,97.9154015820117,0.802585258868948
"24","DAL",2021,-2.35826343797854,-134.421015964777,0.5,12,14,31,57,0.543859649122807,-3.137567305497,-232.179980606778,0.615384615384615,27,13,34,74,0.459459459459459,-17,97.7589646420017,0.746251638488562
"25","NE",2003,-2.69874282640978,-148.430855452538,0.647058823529412,15,17,24,55,0.436363636363636,-2.58617464357613,-245.686591139733,0.6,34,20,41,95,0.431578947368421,-40,97.255735687195,0.648371571247967
"26","MIN",2019,-2.2337208588057,-131.789530669536,0.526315789473684,9,19,31,59,0.525423728813559,-2.6967530386649,-226.527255247851,0.7,19,20,45,84,0.535714285714286,-25,94.7377245783152,0.662501570477728
"27","PHI",2022,-2.32898238950835,-151.383855318043,0.571428571428571,9,14,42,65,0.646153846153846,-2.40863905935443,-245.681184054152,0.611111111111111,18,18,66,102,0.647058823529412,-37,94.2973287361088,0.564654663090472
"28","BAL",2000,-2.03896591263509,-169.234170748713,0.285714285714286,20,21,42,83,0.506024096385542,-2.69530348146726,-261.444437702324,0.739130434782609,33,23,42,97,0.43298969072165,-14,92.2102669536112,0.512279260853395
"29","WAS",2012,-1.87807573184442,-105.172240983288,0.428571428571429,9,14,33,56,0.589285714285714,-3.03181107526051,-197.067719891933,0.769230769230769,21,13,31,65,0.476923076923077,-9,91.8954789086455,0.759466767840045
"30","BAL",2017,-2.84232508029076,-133.589278773666,0.444444444444444,13,9,25,47,0.531914893617021,-3.17255188279689,-225.251183678579,0.8,22,15,34,71,0.47887323943662,-24,91.6619049049137,0.776795804278929
"31","TEN",2008,-2.5762597732474,-82.4403127439166,0.538461538461538,10,13,9,32,0.28125,-2.31979102985701,-173.984327239275,0.391304347826087,20,23,32,75,0.426666666666667,-43,91.5440144953588,0.855551537339802
"32","KC",2013,-2.16972855277691,-130.183713166615,0.714285714285714,8,14,38,60,0.633333333333333,-2.80611312097046,-221.682936556666,0.571428571428571,24,14,41,79,0.518987341772152,-19,91.4992233900519,0.658267794173035
"33","GB",2014,-2.48473792722487,-116.782682579569,0.428571428571429,8,14,25,47,0.531914893617021,-2.57016117041626,-208.183054803717,0.461538461538462,22,13,46,81,0.567901234567901,-34,91.4003722241482,0.714065408001158
"34","TB",2000,-1.91503283305471,-118.732035649392,0.8,13,10,39,62,0.629032258064516,-2.27800341461806,-209.576314144862,0.846153846153846,26,13,53,92,0.576086956521739,-30,90.84427849547,0.589897912308247
"35","NE",2019,-2.94828077503424,-129.724354101507,0.625,10,8,26,44,0.590909090909091,-2.638101907486,-218.962458321338,0.466666666666667,26,15,42,83,0.506024096385542,-39,89.2381042198309,0.702662237951424
"36","SF",2023,-2.50925353921953,-143.027451735513,0.7,13,10,34,57,0.596491228070175,-2.63916305092846,-232.246348481704,0.538461538461538,25,13,50,88,0.568181818181818,-31,89.2188967461906,0.615302736180625
"37","KC",2019,-2.23771590646932,-114.123511229935,0.470588235294118,7,17,27,51,0.529411764705882,-2.6381182022347,-203.135101572072,0.5,18,12,47,77,0.61038961038961,-26,89.0115903421367,0.695403049547943
"38","LA",2018,-2.37773180651523,-135.530712971368,0.5,14,12,31,57,0.543859649122807,-3.06470259722094,-223.723289597129,0.733333333333333,20,15,38,73,0.520547945205479,-16,88.1925766257603,0.678404435582771
"39","KC",2015,-2.27306254808244,-150.022128173441,0.7,8,10,48,66,0.727272727272727,-2.89792359098825,-237.629734461036,0.466666666666667,26,15,41,82,0.5,-16,87.6076062875952,0.591943285726995
"40","CIN",2005,-2.18111035290416,-115.59884870392,0.375,16,16,22,53,0.415094339622642,-2.7699484176096,-202.206234485501,0.6875,31,16,27,73,0.36986301369863,-20,86.6073857815805,0.687360204615718
"41","CHI",2018,-2.58719770122153,-144.883071268405,0.666666666666667,14,12,30,56,0.535714285714286,-2.62143100960085,-230.685928844875,0.470588235294118,29,17,42,88,0.477272727272727,-32,85.8028575764695,0.595853177614371
"42","NO",2019,-2.13613067827634,-85.4452271310534,0.285714285714286,7,7,26,40,0.65,-2.27523968536355,-170.642976402266,0.75,13,12,50,75,0.666666666666667,-35,85.1977492712125,0.740849993662717
"43","GB",2011,-2.04520805677628,-120.667275349801,0.5,9,10,40,59,0.677966101694915,-2.8570522901277,-205.707764889194,0.5,32,12,28,72,0.388888888888889,-13,85.0404895393935,0.649164042285447
"44","HOU",2014,-2.69081801759696,-126.468446827057,0.818181818181818,13,11,23,47,0.48936170212766,-3.10179969509238,-210.922379266282,0.666666666666667,20,15,33,68,0.485294117647059,-21,84.4539324392246,0.734382021210649
"45","NE",2012,-2.39476068234926,-119.738034117463,0.583333333333333,11,12,27,50,0.54,-2.52026161166729,-204.141190545051,0.6,21,30,30,81,0.37037037037037,-31,84.4031564275873,0.644298904027384
"46","NE",2011,-2.41621294825742,-130.475499205901,0.571428571428571,16,7,31,54,0.574074074074074,-2.54851839979339,-214.075545582645,0.571428571428571,24,14,46,84,0.547619047619048,-30,83.6000463767436,0.605797437512635
"47","LV",2000,-2.27005745168002,-127.123217294081,0.692307692307692,15,13,28,56,0.5,-2.33791271165332,-210.412144048799,0.619047619047619,25,21,44,90,0.488888888888889,-34,83.2889267547176,0.570472101059709
"48","SEA",2005,-2.0846539676188,-108.402006316178,0.333333333333333,12,12,28,52,0.538461538461538,-2.30767813736478,-191.537285401276,0.6,21,15,47,83,0.566265060240964,-31,83.1352790850988,0.615816882111843
"49","LAC",2017,-2.38184832664368,-83.3646914325288,0.4,11,10,14,35,0.4,-2.46973225046818,-165.472060781368,0.692307692307692,18,13,36,67,0.537313432835821,-32,82.1073693488394,0.804974209302347
"50","NO",2018,-2.55006841013301,-112.203010045853,0.571428571428571,9,14,21,44,0.477272727272727,-2.52229544823622,-194.216749514189,0.631578947368421,15,19,43,77,0.558441558441558,-33,82.0137394683361,0.677799499738315
"51","LA",2017,-2.46073452383611,-123.036726191806,0.526315789473684,7,19,24,50,0.48,-2.65482438739017,-204.421477829043,0.5,18,18,42,77,0.545454545454545,-27,81.3847516372371,0.640824816041237
"52","BAL",2008,-2.74103677713091,-175.426353736378,0.611111111111111,15,18,31,64,0.484375,-2.94400192328383,-256.128167325693,0.647058823529412,31,17,39,87,0.448275862068966,-23,80.7018135893148,0.534449096617979
"53","KC",2003,-2.51106470220004,-92.9093939814016,0.555555555555556,12,9,16,37,0.432432432432432,-2.47937374033791,-173.556161823653,0.636363636363636,25,11,34,70,0.485714285714286,-33,80.6467678422518,0.75370811067525
"54","TB",2021,-2.58847842643567,-129.423921321783,0.727272727272727,13,11,26,50,0.52,-2.5584595894688,-209.793686336441,0.736842105263158,19,19,44,82,0.536585365853659,-32,80.369765014658,0.608861856171652
"55","BAL",2019,-1.86173298872378,-93.0866494361888,0.666666666666667,10,9,31,50,0.62,-2.98480743369767,-173.118831154465,0.666666666666667,13,15,30,58,0.517241379310345,-8,80.032181718276,0.741038719613667
"56","DEN",2005,-2.1642543953781,-103.884210978149,0.692307692307692,10,13,25,48,0.520833333333333,-2.8562733609087,-182.801495098157,0.55,22,20,23,64,0.359375,-16,78.9172841200083,0.70461860821436
"57","PIT",2020,-2.61152091455224,-104.46083658209,0.307692307692308,15,13,12,40,0.3,-2.26331054861824,-183.328154438078,0.583333333333333,18,12,51,81,0.62962962962963,-41,78.867317855988,0.651796015338744
"58","IND",2007,-2.39661486369803,-110.244283730109,0.5,16,12,18,46,0.391304347826087,-3.04874211633786,-189.022011212947,0.631578947368421,23,19,20,62,0.32258064516129,-16,78.7777274828379,0.729423402618869
"59","LA",1999,-2.45363594613364,-152.125428660286,0.555555555555556,17,18,27,62,0.435483870967742,-2.35051145662343,-230.350122749096,0.4,30,15,53,98,0.540816326530612,-36,78.2246940888102,0.488904338055064
